E N Z
-0.00125421 -0.0015723 -0.00031266
-0.00219486 0.00125784 -0.00156331
-0.00219486 0.00125784 -0.00312663
-0.00501683 -0.00031446 -0.00218864
-0.00250842 -0.00062892 -0.00062533
0.00094066 0.00062892 0.00281396
0.00282197 0.00094338 -0.00281396
-0.00031355 -0.0015723 -0.00093799
-0.00376262 -0.00062892 0.00187598
-0.00094066 -0.00094338 0.00281396
0.00094066 -0.00345906 -0.00437728
0.00313552 -0.00377352 -0.00125065
0.00125421 0.00062892 0.00375195
0.00188131 0.00220122 0.00187598
0.00094066 0.00094338 -0.0025013
-0.00031355 0.00125784 -0.00406462
-0.00219486 0.00031446 0.00062533
-0.00156776 -0.00125784 0.00062533
-0.00156776 -0.00220122 0.00125065
-0.00219486 -0.00031446 -0.00281396
0.00094066 0.00283014 -0.00187598
0.00156776 -0.00031446 -0.00093799
0.00125421 -0.00188676 -0.00031266
0.00219486 0.00062892 0.00218864
0.00156776 0.00062892 0.00375195
0.0 -0.00031446 0.00187598
-0.0006271 -0.00031446 -0.00343929
-0.00125421 -0.00220122 -0.0025013
-0.00376262 -0.00125784 -0.00031266
-0.00219486 -0.0015723 -0.00031266
0.00031355 -0.00094338 0.00281396
0.00125421 -0.00031446 0.00343929
0.0006271 0.00031446 0.00093799
-0.0006271 0.00220122 -0.00468994
0.0 0.00220122 -0.00281396
-0.00438973 0.00125784 -0.00093799
-0.00313552 -0.00094338 0.00156331
-0.0006271 -0.00094338 0.00187598
0.00219486 -0.0015723 0.00093799
0.00219486 0.00062892 -0.00062533
0.00219486 0.0031446 0.00125065
-0.00031355 0.00094338 0.00093799
-0.00313552 -0.0015723 -0.00437728
-0.00031355 -0.00031446 0.00031266
-0.00219486 -0.00094338 0.00156331
-0.00564394 -0.00345906 -0.00093799
-0.00438973 -0.00125784 -0.00218864
0.00094066 0.0015723 -0.00125065
0.00031355 -0.00125784 -0.00218864
0.00094066 -0.00062892 0.00093799
0.00188131 0.0 0.00187598
0.00031355 -0.00125784 -0.00093799
0.00031355 0.00062892 -0.00187598
0.00125421 0.00188676 0.0
-0.00031355 -0.00125784 0.00125065
-0.00250842 -0.00283014 0.00281396
-0.00031355 0.00031446 0.00093799
-0.00031355 0.00283014 -0.00156331
0.0006271 0.00125784 -0.00343929
0.00094066 -0.0015723 0.00093799
-0.0006271 -0.00062892 0.00218864
0.00094066 0.00062892 0.00062533
-0.00125421 0.00220122 0.00156331
-0.00094066 -0.00094338 -0.00218864
0.00094066 -0.00125784 -0.00093799
0.00250842 -0.00125784 0.00343929
0.0006271 -0.0015723 0.00312663
-0.0006271 0.00031446 -0.00156331
0.00094066 0.00062892 -0.00187598
-0.00219486 0.0 0.00093799
-0.00438973 -0.00062892 -0.00125065
-0.00125421 -0.00125784 -0.00312663
-0.00094066 -0.00094338 0.00312663
-0.00156776 0.00062892 0.00093799
0.00282197 -0.00062892 -0.00062533
0.00031355 0.00125784 0.00281396
0.0006271 0.0015723 -0.00031266
0.00094066 0.00094338 -0.00093799
-0.00125421 -0.00125784 0.00156331
-0.00376262 -0.00345906 -0.00187598
-0.00250842 -0.0015723 -0.0025013
0.00313552 0.00125784 0.0
-0.00031355 -0.00125784 0.00125065
-0.00219486 -0.00251568 -0.00031266
0.00031355 0.0 0.00062533
-0.00031355 -0.00094338 -0.00156331
-0.00125421 0.00031446 -0.00093799
0.00094066 0.0015723 0.00156331
-0.00031355 -0.00094338 0.00093799
0.0 -0.00031446 -0.00093799
0.00094066 0.00220122 -0.00187598
-0.00031355 0.00125784 -0.00062533
-0.00188131 0.00094338 -0.0025013
-0.00219486 -0.00125784 0.00125065
-0.0006271 -0.00031446 0.00312663
-0.00031355 -0.00125784 0.00156331
0.00250842 -0.00188676 -0.00031266
0.00407618 0.00251568 0.00437728
0.00313552 -0.00062892 -0.00062533
-0.00125421 -0.00188676 -0.00187598
-0.00156776 -0.00031446 0.0
-0.00313552 0.00062892 0.00031266
-0.00344907 0.00031446 -0.00187598
-0.00031355 0.00062892 -0.00156331
0.00156776 0.0 0.00218864
0.00156776 -0.00220122 -0.00031266
0.00156776 -0.00220122 0.00093799
0.00125421 -0.00125784 0.0
-0.00156776 -0.00125784 -0.00187598
-0.00125421 -0.00125784 -0.00218864
0.0 0.00094338 0.00125065
0.00188131 0.00125784 0.00031266
0.00156776 0.00220122 0.00187598
0.00219486 0.0015723 0.0
-0.00125421 -0.00094338 -0.00156331
-0.00313552 0.00062892 0.00031266
-0.00031355 0.00377352 0.00187598
0.0006271 -0.00125784 -0.00312663
-0.00094066 -0.00440244 -0.00031266
-0.00031355 -0.00220122 0.00468994
-0.0006271 0.00125784 0.0025013
0.00094066 0.00125784 -0.00312663
0.00188131 -0.00031446 -0.00312663
-0.00125421 -0.00251568 -0.00125065
-0.00188131 -0.00188676 -0.00125065
-0.00219486 0.00125784 0.00281396
0.00094066 -0.00062892 -0.00125065
-0.00094066 -0.0015723 -0.00218864
-0.00125421 -0.0031446 -0.00125065
-0.0006271 -0.0015723 0.00093799
-0.00219486 0.00125784 0.00156331
-0.0006271 0.00345906 -0.00031266
0.00344907 0.00094338 -0.00187598
0.00094066 -0.00251568 0.00156331
-0.0006271 -0.00251568 -0.00187598
-0.00031355 -0.00094338 -0.00093799
-0.0006271 0.00220122 0.00375195
-0.00125421 -0.00062892 -0.00187598
-0.00188131 -0.0015723 -0.00156331
-0.00031355 0.0 0.00281396
0.00125421 0.00188676 -0.00125065
0.00125421 -0.00125784 -0.00187598
-0.0006271 -0.0015723 0.00187598
0.0006271 0.0 0.00281396
-0.00250842 -0.0015723 -0.00031266
-0.00125421 -0.00031446 -0.00187598
-0.00282197 0.00062892 0.0025013
-0.0006271 0.00125784 -0.00312663
0.00250842 0.0 0.00031266
0.0006271 -0.00031446 0.00218864
0.00125421 -0.00125784 -0.00062533
-0.00094066 -0.00062892 0.0
-0.0006271 0.00062892 0.00156331
-0.00156776 0.00125784 -0.00093799
0.00156776 -0.00094338 -0.00156331
0.00313552 0.0 0.0025013
0.00313552 -0.00125784 -0.00187598
0.00250842 0.00125784 0.00031266
0.00031355 0.00283014 0.00156331
-0.00188131 -0.00125784 -0.00062533
-0.00344907 -0.00062892 -0.00375195
-0.00313552 0.00031446 -0.00093799
-0.00407618 0.00094338 0.00062533
-0.0006271 -0.00188676 -0.00062533
0.00282197 -0.00031446 0.00062533
0.00125421 -0.00094338 -0.00062533
0.0 -0.0015723 0.0
-0.00125421 0.00094338 0.00156331
0.00031355 0.00094338 0.00218864
-0.0006271 -0.0015723 -0.00218864
0.00031355 0.00188676 0.0
0.00250842 0.00251568 0.0
0.00282197 -0.00031446 0.00031266
0.00376262 0.00125784 0.00218864
-0.00125421 -0.00062892 0.0
-0.00125421 -0.00251568 -0.00218864
-0.00376262 -0.00125784 0.0
-0.00313552 -0.00062892 0.00031266
-0.0006271 -0.00125784 -0.00093799
0.00250842 0.0 0.00281396
0.0 -0.00125784 0.00218864
0.0 -0.00062892 -0.00156331
0.00156776 0.00031446 0.00093799
-0.00407618 0.0 -0.00031266
-0.0006271 -0.00220122 -0.00468994
-0.0006271 0.00125784 0.00187598
0.00188131 0.00062892 0.00312663
0.00094066 -0.00094338 -0.00031266
0.00188131 0.00062892 0.00187598
0.0006271 0.00283014 0.0
0.00031355 0.00094338 -0.00281396
0.00094066 -0.00094338 0.00281396
-0.00156776 -0.00031446 -0.00187598
0.00094066 -0.00125784 -0.00156331
-0.00125421 0.00094338 0.00343929
-0.00094066 0.00094338 -0.00125065
-0.00094066 0.00031446 -0.00312663
-0.0006271 -0.00031446 -0.00156331
-0.00250842 -0.00031446 0.0
0.0 0.00031446 -0.00343929
0.0006271 0.0 -0.00031266
-0.0006271 -0.0015723 0.00031266
0.0006271 -0.00188676 0.00031266
-0.00344907 0.00031446 0.00062533
-0.00094066 0.00188676 -0.00031266
0.00313552 0.00125784 -0.00093799
0.00031355 -0.00220122 -0.00125065
0.0 -0.00251568 0.0
0.0 -0.0015723 0.0025013
0.0006271 0.0 0.00218864
-0.00125421 0.0015723 -0.00062533
-0.00156776 0.00125784 -0.00062533
-0.00094066 0.00094338 -0.00093799
-0.00156776 -0.00062892 -0.00187598
-0.00031355 -0.00125784 -0.00187598
-0.00125421 -0.0031446 -0.00062533
0.00188131 0.0 0.00343929
0.0006271 -0.00031446 0.00031266
0.00219486 0.0 0.00031266
0.00031355 0.00251568 0.00156331
-0.00250842 -0.0015723 -0.00343929
-0.0006271 -0.00125784 -0.00093799
-0.00125421 -0.0015723 0.00062533
-0.00125421 0.00031446 -0.00187598
0.00125421 0.0031446 0.0
0.00156776 0.00251568 0.00218864
0.0006271 0.00031446 -0.00281396
0.0006271 -0.00125784 0.00125065
-0.00156776 -0.00062892 0.00125065
0.00156776 -0.00062892 -0.00156331
-0.0006271 -0.00094338 -0.00125065
-0.00282197 -0.00125784 -0.00125065
-0.0006271 -0.00094338 0.00343929
-0.00501683 -0.00094338 0.00218864
-0.00125421 0.0 -0.00218864
0.00156776 0.00251568 0.00218864
-0.00250842 -0.0015723 0.00156331
0.00031355 -0.00094338 -0.00187598
-0.0006271 0.00125784 0.00031266
0.00219486 -0.00031446 0.00062533
0.00282197 -0.00188676 0.00156331
-0.00156776 -0.00220122 0.0025013
-0.00094066 -0.00094338 -0.00125065
-0.00219486 0.00094338 -0.00093799
-0.00125421 0.0031446 -0.00187598
0.00344907 0.00062892 -0.00531527
-0.00094066 -0.0015723 0.00125065
-0.00125421 -0.0031446 0.00093799
0.00031355 -0.00062892 0.00062533
-0.00438973 -0.00062892 0.00031266
-0.00156776 0.00094338 -0.00125065
-0.00219486 0.00031446 -0.00031266
-0.00219486 -0.00094338 0.00281396
0.00376262 0.0031446 -0.00062533
0.00344907 0.00283014 0.0
0.0006271 0.00031446 -0.00093799
-0.00156776 0.00031446 -0.00093799
-0.00188131 -0.00125784 0.00343929
0.00125421 -0.00188676 -0.00031266
-0.0006271 0.0 0.00062533
-0.00188131 0.00062892 -0.00062533
0.0 0.00031446 0.0
-0.00031355 -0.00188676 -0.00031266
-0.0006271 -0.00220122 -0.0025013
-0.00031355 -0.0031446 -0.0025013
-0.00188131 0.00062892 0.00281396
-0.00094066 0.00062892 0.00062533
0.0 -0.00283014 0.00031266
-0.00156776 -0.00094338 -0.00156331
-0.00031355 0.00125784 -0.00343929
0.0 0.0031446 0.0050026
0.00219486 0.00220122 -0.00093799
0.00125421 -0.00125784 -0.0025013
0.00156776 -0.00094338 0.0
0.00219486 -0.0015723 0.00156331
0.0 -0.00125784 0.00093799
-0.00188131 -0.00094338 -0.00187598
-0.00094066 -0.00031446 -0.00125065
-0.0006271 0.00220122 -0.00062533
-0.00250842 -0.00094338 0.00031266
0.00250842 -0.00094338 0.0
0.00219486 -0.00094338 0.00187598
0.00094066 -0.0015723 -0.00156331
0.0006271 -0.00062892 -0.00187598
-0.00156776 -0.00220122 0.00062533
-0.00219486 -0.00125784 0.00125065
-0.0006271 0.00125784 -0.00093799
0.0006271 0.00220122 -0.00125065
0.00094066 0.00062892 0.00031266
0.00031355 0.0 -0.00125065
0.00031355 0.00031446 0.00031266
-0.00031355 -0.00094338 0.0
-0.00313552 -0.00031446 0.00125065
-0.00031355 0.00125784 0.00062533
0.0 0.0031446 -0.00125065
0.00031355 0.00094338 -0.00156331
-0.0006271 -0.00062892 -0.00156331
-0.00219486 -0.00094338 0.00218864
-0.00188131 -0.00094338 0.00031266
-0.00125421 -0.00125784 -0.00218864
0.00125421 -0.00251568 -0.00093799
0.00250842 -0.00031446 0.00062533
0.00219486 0.00125784 0.0025013
0.00031355 0.00188676 0.00093799
-0.00031355 0.00125784 0.00062533
-0.0006271 -0.0015723 0.00031266
-0.00031355 -0.00125784 0.0
-0.00031355 -0.00062892 0.00125065
-0.00156776 -0.00125784 0.00218864
0.00344907 0.0047169 0.00125065
0.00470328 0.00345906 0.00031266
0.00219486 0.0 -0.00093799
-0.0006271 -0.00094338 0.00093799
-0.00313552 -0.00031446 0.00031266
-0.00376262 -0.00031446 -0.00031266
-0.00250842 0.0 0.00062533
-0.00031355 0.00062892 -0.00093799
0.0006271 0.0 0.0
0.00250842 0.00094338 -0.00031266
0.00031355 -0.00062892 -0.00031266
-0.00031355 -0.0015723 -0.00031266
0.0 -0.00251568 -0.00031266
-0.00094066 -0.00251568 0.00031266
-0.00219486 -0.00062892 0.00093799
0.00094066 0.0015723 -0.00093799
0.00250842 0.00125784 -0.00062533
0.00156776 0.00031446 0.0
-0.00094066 0.00094338 0.00062533
0.0 0.00125784 -0.00062533
-0.00501683 -0.0015723 -0.00218864
-0.00125421 -0.00094338 -0.00125065
0.00125421 0.00062892 0.00062533
-0.00156776 0.0 0.00031266
0.0 -0.0031446 -0.00281396
-0.00125421 -0.00094338 -0.00218864
0.00031355 0.00125784 0.00187598
-0.00125421 0.00062892 -0.00093799
0.00376262 -0.00031446 -0.00062533
0.00031355 -0.0031446 0.00093799
0.00031355 -0.00220122 -0.00156331
0.00031355 0.00062892 0.00187598
0.00094066 0.00283014 0.00062533
-0.0006271 0.00062892 -0.00093799
-0.0006271 0.0015723 -0.00125065
0.00156776 -0.00125784 0.00062533
-0.00125421 -0.00188676 0.00125065
0.00094066 0.00094338 0.00156331
0.0 0.00125784 -0.00093799
0.0 -0.00031446 -0.00187598
-0.00031355 -0.00062892 0.0
0.0 -0.00220122 0.00187598
-0.00156776 -0.00062892 0.00156331
-0.00031355 0.00251568 0.00031266
-0.00125421 0.00251568 -0.00187598
-0.00156776 0.00125784 -0.00125065
-0.0006271 -0.00062892 0.00062533
0.00094066 0.00031446 -0.00312663
-0.00125421 -0.00125784 0.00093799
-0.00470328 -0.00188676 0.00125065
0.0 -0.00220122 -0.00187598
0.00188131 0.00062892 0.00125065
-0.00094066 -0.00283014 0.00187598
0.00156776 -0.0015723 -0.00218864
0.00250842 0.00220122 0.0
-0.00094066 0.00125784 -0.00093799
0.00188131 0.00251568 0.00062533
0.00250842 -0.00188676 -0.00093799
0.00188131 -0.00283014 0.00093799
-0.00219486 -0.00062892 0.00375195
-0.00438973 0.00094338 -0.00093799
-0.00125421 0.00220122 -0.00125065
-0.00031355 0.00188676 -0.00156331
-0.00156776 -0.00125784 -0.00156331
0.00125421 -0.00188676 -0.00125065
-0.0006271 0.00031446 0.00531527
-0.00250842 -0.0015723 -0.00156331
-0.00031355 0.0 -0.00187598
-0.00407618 0.00031446 0.00187598
-0.00125421 -0.00062892 -0.00125065
0.00313552 0.00094338 0.00281396
0.00031355 -0.00031446 0.0025013
0.00031355 0.0 -0.00125065
-0.00125421 -0.00283014 -0.00156331
-0.00250842 -0.00094338 -0.00125065
0.0 0.00094338 -0.00156331
-0.00219486 0.00094338 0.00312663
0.00188131 -0.0015723 -0.00093799
-0.00031355 -0.00031446 0.00062533
-0.00250842 -0.00031446 -0.00062533
0.00344907 -0.00220122 -0.0025013
0.00156776 -0.0015723 0.00218864
0.00313552 -0.00408798 0.00093799
0.00156776 0.0 0.00218864
-0.00156776 0.00188676 0.00062533
0.0006271 0.0015723 -0.00218864
-0.00094066 0.00062892 0.00062533
-0.00344907 0.00094338 0.00125065
-0.00125421 0.0015723 -0.00187598
-0.0006271 0.0015723 0.0
0.00376262 -0.00345906 -0.00312663
0.00344907 -0.00408798 0.00125065
-0.00094066 -0.00345906 0.0050026
-0.00188131 0.00408798 0.00156331
-0.00188131 0.00566028 -0.00187598
0.0006271 0.0031446 -0.0050026
0.00031355 0.00220122 -0.00156331
0.00156776 -0.00251568 0.00031266
0.00094066 0.00031446 0.00125065
0.0006271 -0.00345906 -0.00156331
-0.00031355 -0.00283014 -0.00031266
-0.00219486 -0.00031446 0.00031266
-0.00031355 0.00125784 0.00031266
0.0006271 0.00251568 0.00125065
0.00282197 0.00377352 0.00031266
0.00219486 0.00251568 0.00125065
-0.0006271 -0.00094338 -0.00312663
0.00094066 -0.00188676 -0.00468994
-0.00250842 -0.00251568 0.0
-0.00282197 -0.0047169 0.00218864
0.0 -0.0047169 0.00125065
-0.00031355 0.00188676 0.00343929
-0.00031355 0.00345906 0.00031266
0.00031355 0.00220122 -0.00187598
0.00125421 0.00031446 0.00031266
-0.00031355 -0.00251568 -0.00093799
0.0 -0.00220122 0.0025013
0.00125421 -0.00251568 -0.00031266
0.0006271 -0.00188676 -0.00093799
-0.00219486 0.00062892 0.00156331
-0.00188131 0.00345906 0.00093799
-0.0006271 0.00377352 -0.00031266
-0.0006271 0.0015723 -0.00218864
0.00156776 -0.00062892 -0.00218864
-0.0006271 -0.00062892 -0.00062533
-0.00313552 -0.00188676 0.00343929
-0.00094066 -0.00188676 0.00031266
0.0 -0.00062892 0.0
0.00031355 -0.00031446 0.00218864
0.0 0.00062892 -0.00062533
0.00188131 0.0015723 0.00125065
0.00125421 0.0031446 0.00062533
0.00125421 -0.00062892 -0.00031266
-0.0006271 -0.00345906 -0.00093799
-0.00282197 -0.0031446 -0.00031266
-0.0006271 0.00062892 0.00156331
0.00031355 0.00188676 0.00093799
0.00250842 -0.00094338 -0.00031266
0.00219486 -0.00031446 -0.00062533
-0.00031355 0.00220122 0.00062533
-0.00156776 0.0015723 -0.00187598
-0.00188131 -0.00031446 -0.00375195
0.0 -0.00251568 0.00062533
0.0 -0.00188676 0.00281396
0.00250842 0.00062892 0.00125065
0.00219486 -0.0031446 -0.00406462
0.00125421 0.00220122 -0.00343929
-0.00125421 0.00377352 0.00281396
-0.00438973 0.00251568 0.00125065
-0.00219486 -0.0031446 0.00031266
-0.00156776 -0.00691812 -0.00187598
0.00344907 -0.00031446 0.00125065
0.00219486 0.00062892 0.00125065
0.00031355 0.0015723 0.00156331
-0.0006271 0.00062892 -0.00093799
-0.00156776 0.0031446 -0.00125065
-0.00282197 0.00094338 -0.00125065
-0.00282197 -0.00220122 -0.0050026
0.0006271 -0.00094338 0.00093799
-0.00156776 -0.00188676 0.00406462
0.00125421 -0.00125784 0.0050026
0.00156776 0.0 -0.00125065
0.00344907 0.00220122 0.00218864
-0.00031355 0.0015723 0.00062533
0.0 0.0 -0.00218864
0.00156776 0.0 0.0
0.00031355 0.00094338 0.0
-0.00031355 0.0 0.00031266
-0.00094066 -0.00377352 -0.00156331
0.0006271 -0.00377352 0.00125065
-0.00125421 -0.00031446 0.00031266
-0.0006271 0.00251568 -0.00031266
-0.00313552 0.00408798 0.00093799
-0.00156776 0.0 0.0
0.00156776 0.00125784 -0.00218864
0.00156776 0.00125784 -0.00187598
0.0 -0.00345906 0.0
-0.00219486 -0.00345906 0.00031266
-0.00313552 -0.00440244 -0.00062533
-0.00188131 -0.00283014 0.00187598
0.00188131 0.00188676 0.00312663
0.00438973 0.00408798 0.0025013
0.00313552 0.00220122 -0.00093799
0.0006271 -0.00188676 -0.00187598
-0.0006271 -0.00220122 -0.00031266
-0.00219486 -0.0031446 0.0
-0.00250842 -0.00408798 0.0
-0.00438973 -0.0047169 -0.00156331
-0.00376262 -0.00031446 0.00093799
-0.00188131 0.00251568 0.0
0.00344907 0.0047169 -0.00156331
0.00470328 0.00597474 0.00125065
0.00376262 0.00188676 0.0
0.00125421 -0.00062892 0.0
-0.00313552 -0.00440244 -0.00281396
-0.00188131 -0.00220122 -0.00093799
-0.00470328 -0.00377352 0.0
-0.00188131 -0.00125784 0.00125065
0.00031355 0.00031446 0.00125065
0.00533038 0.00031446 -0.00031266
0.00313552 0.0015723 0.00125065
0.0 0.00062892 -0.00093799
-0.00156776 0.0015723 0.00218864
-0.00501683 0.00062892 -0.00218864
-0.00125421 0.00031446 0.0
0.00031355 -0.00251568 -0.00218864
0.00250842 -0.0031446 0.00093799
-0.00219486 -0.00125784 0.0025013
0.00250842 0.00031446 0.00062533
-0.00156776 0.00377352 0.00062533
-0.00250842 0.00125784 -0.00031266
-0.00188131 0.00094338 0.00218864
0.00188131 -0.00062892 -0.00406462
0.00344907 -0.0015723 -0.00031266
-0.00125421 -0.00220122 -0.00062533
0.00125421 -0.00094338 0.0025013
-0.00438973 -0.00062892 -0.00125065
-0.00250842 -0.00220122 -0.0025013
0.0006271 0.00031446 -0.00093799
0.00250842 -0.0015723 -0.00093799
-0.00031355 -0.00188676 0.00156331
-0.00031355 -0.00094338 0.00187598
0.00219486 0.0031446 0.00406462
0.00125421 0.00031446 -0.00437728
0.00156776 0.00094338 -0.00031266
0.00156776 0.0 0.00218864
-0.00407618 -0.00031446 0.00375195
-0.00407618 0.00031446 -0.00187598
0.00156776 0.0031446 -0.00093799
0.00219486 0.0031446 -0.00062533
-0.00031355 -0.00220122 -0.00281396
0.0 -0.0015723 0.00312663
-0.00125421 -0.0015723 0.00031266
-0.00219486 -0.00094338 -0.00156331
-0.00031355 0.00062892 -0.0025013
-0.0006271 0.00188676 0.00218864
0.00376262 -0.00188676 -0.00031266
0.00188131 -0.00220122 0.00312663
0.00094066 -0.00251568 0.00093799
0.00188131 0.0015723 0.00031266
0.00031355 -0.00062892 -0.00156331
0.0006271 -0.00062892 -0.00218864
0.00094066 -0.00125784 -0.00093799
-0.00125421 -0.00062892 0.00062533
0.00031355 0.00031446 -0.00093799
-0.00031355 -0.00062892 -0.00125065
-0.00282197 0.00094338 0.00125065
-0.00313552 0.00031446 -0.0025013
-0.00156776 -0.00031446 0.0
0.00219486 -0.00094338 -0.00156331
0.00282197 0.00125784 0.00187598
0.00125421 -0.00062892 0.00468994
-0.0006271 0.0 0.00125065
0.00250842 0.0 -0.00218864
